epoch,epoch_loss,split,loss,acc,sample_fn
48,0.5655957,train,0.52223176,0.8350048796694284,gumbel_soft
48,0.5655957,val,0.5888329,0.8194831753113961,gumbel_soft
48,0.5655957,test,0.56904715,0.8155672602625199,gumbel_soft
49,0.528367,train,0.53341943,0.8158080524927843,gumbel_soft
49,0.528367,val,0.52969337,0.823944971184235,gumbel_soft
49,0.528367,test,0.52282435,0.8133935289691497,gumbel_soft
50,0.560683,train,0.536063,0.8061421541144957,gumbel_soft
50,0.560683,val,0.54803723,0.8066555121769846,gumbel_soft
50,0.560683,test,0.5520963,0.8121394532229746,gumbel_soft
51,0.51967067,train,0.5232687,0.8150397641147034,gumbel_soft
51,0.51967067,val,0.51655257,0.8313812976389664,gumbel_soft
51,0.51967067,test,0.5420055,0.8138951592676198,gumbel_soft
52,0.5446687,train,0.5366512,0.8104611806723562,gumbel_soft
52,0.5446687,val,0.55331516,0.8109313998884551,gumbel_soft
52,0.5446687,test,0.5457725,0.8128082936209347,gumbel_soft
53,0.54484475,train,0.5461199,0.8263460620029486,gumbel_soft
53,0.54484475,val,0.57718074,0.8153931957612939,gumbel_soft
53,0.54484475,test,0.54110247,0.8113870077752696,gumbel_soft
54,0.54142684,train,0.5402616,0.8121638738345895,gumbel_soft
54,0.54142684,val,0.5658002,0.8125116192600855,gumbel_soft
54,0.54142684,test,0.57592237,0.7967561240698938,gumbel_soft
55,0.53833926,train,0.546026,0.807886376378247,gumbel_soft
55,0.53833926,val,0.56612873,0.7994050938836215,gumbel_soft
55,0.53833926,test,0.5290811,0.8134771340188948,gumbel_soft
56,0.54824424,train,0.54671776,0.7997259079299819,gumbel_soft
56,0.54824424,val,0.5905805,0.7859267521844209,gumbel_soft
56,0.54824424,test,0.6384663,0.764651784967812,gumbel_soft
57,0.5998665,train,0.5924377,0.7866338586764675,gumbel_soft
57,0.5998665,val,0.54612523,0.8074920989031419,gumbel_soft
57,0.5998665,test,0.7026995,0.7580469860379567,gumbel_soft
58,0.5978892,train,0.60676515,0.777850453705434,gumbel_soft
58,0.5978892,val,0.6215595,0.7714259155976947,gumbel_soft
58,0.5978892,test,0.6342175,0.763982944569852,gumbel_soft
59,0.6212664,train,0.587443,0.8017089225274611,gumbel_soft
59,0.6212664,val,0.5784598,0.8081427774679308,gumbel_soft
59,0.6212664,test,0.71325624,0.7608059526795419,gumbel_soft
60,0.5868901,train,0.60645056,0.7831557964243444,gumbel_soft
60,0.5868901,val,0.5957059,0.7945714816880461,gumbel_soft
60,0.5868901,test,0.6198632,0.7707549535991974,gumbel_soft
61,0.601121,train,0.5908394,0.7850661350941672,gumbel_soft
61,0.601121,val,0.69300973,0.7569250790109686,gumbel_soft
61,0.601121,test,0.5861436,0.7884792241451384,gumbel_soft
62,0.6360599,train,0.6028547,0.7807886376378247,gumbel_soft
62,0.6360599,val,0.6858544,0.7520914668153932,gumbel_soft
62,0.6360599,test,0.6374032,0.7667419112114372,gumbel_soft
63,0.59467185,train,0.5844379,0.7863120081397039,gumbel_soft
63,0.59467185,val,0.6149592,0.7737497676147983,gumbel_soft
63,0.59467185,test,0.61767507,0.7760220717331326,gumbel_soft
64,0.5982378,train,0.6226613,0.7675823833551361,gumbel_soft
64,0.5982378,val,0.66482383,0.7483733035880276,gumbel_soft
64,0.5982378,test,0.6266856,0.7670763314104172,gumbel_soft
65,0.6196182,train,0.63155687,0.7784733902282024,gumbel_soft
65,0.6196182,val,0.6631168,0.7644543595463841,gumbel_soft
65,0.6196182,test,0.5585464,0.7980101998160689,gumbel_soft
66,0.5995509,train,0.61750627,0.793724952760647,gumbel_soft
66,0.5995509,val,0.63640773,0.7864844766685257,gumbel_soft
66,0.5995509,test,0.64309,0.780703954518853,gumbel_soft
67,0.63349974,train,0.62706864,0.7764696110799643,gumbel_soft
67,0.63349974,val,0.6574566,0.7695668339840119,gumbel_soft
67,0.63349974,test,0.6039419,0.7829612908619681,gumbel_soft
68,0.6259188,train,0.67009515,0.764239290682946,gumbel_soft
68,0.6259188,val,0.6094942,0.7933630786391522,gumbel_soft
68,0.6259188,test,0.6209567,0.7745171808377226,gumbel_soft
69,0.6431852,train,0.6386494,0.7588093606594821,gumbel_soft
69,0.6431852,val,0.61707366,0.7660345789180145,gumbel_soft
69,0.6431852,test,0.7733216,0.7131510743248892,gumbel_soft
70,0.6670438,train,0.7182011,0.7347120995037273,gumbel_soft
70,0.6670438,val,0.7931371,0.7086819111358988,gumbel_soft
70,0.6670438,test,0.6812251,0.7412423710392108,gumbel_soft
71,0.70033413,train,0.706657,0.7335285201104674,gumbel_soft
71,0.70033413,val,0.64498156,0.752649191299498,gumbel_soft
71,0.70033413,test,0.73251003,0.7283671933784801,gumbel_soft
72,0.6880549,train,0.70254314,0.740401586411678,gumbel_soft
72,0.6880549,val,0.65108943,0.7643614054657,gumbel_soft
72,0.6880549,test,0.63064826,0.7699189031017474,gumbel_soft
73,0.69663775,train,0.7129982,0.7173114059677319,gumbel_soft
73,0.69663775,val,0.69900626,0.7183491355270496,gumbel_soft
73,0.69663775,test,0.79578155,0.6885711896998579,gumbel_soft
74,0.69104034,train,0.7048045,0.7545630100292781,gumbel_soft
74,0.69104034,val,0.74356353,0.7392638036809815,gumbel_soft
74,0.69104034,test,0.6902966,0.7562912799933116,gumbel_soft
75,0.6868804,train,0.6992208,0.7419070163417014,gumbel_soft
75,0.6868804,val,0.75390494,0.7230897936419409,gumbel_soft
75,0.6868804,test,0.71360874,0.7361424630047655,gumbel_soft
76,0.7259391,train,0.7148271,0.7256899021989659,gumbel_soft
76,0.7259391,val,0.703688,0.7308049823387247,gumbel_soft
76,0.7259391,test,0.73874235,0.7172477217623945,gumbel_soft
77,0.72873855,train,0.7375973,0.7080400340538633,gumbel_soft
77,0.72873855,val,0.76494765,0.7045919315857966,gumbel_soft
77,0.72873855,test,0.67529136,0.7207591338516847,gumbel_soft
78,0.7546422,train,0.73908436,0.7210490251043419,gumbel_soft
78,0.7546422,val,0.7719812,0.7060791968767429,gumbel_soft
78,0.7546422,test,0.8189474,0.691998996739403,gumbel_soft
79,0.7168152,train,0.73705477,0.7146016320936897,gumbel_soft
79,0.7168152,val,0.74608356,0.7143521100576316,gumbel_soft
79,0.7168152,test,0.74852526,0.7108937379817741,gumbel_soft
80,0.7148812,train,0.7426478,0.713947548744783,gumbel_soft
80,0.7148812,val,0.82196355,0.6748466257668712,gumbel_soft
80,0.7148812,test,0.7991616,0.6962628542763983,gumbel_soft
81,0.7426438,train,0.7397532,0.715754064660811,gumbel_soft
81,0.7426438,val,0.73517436,0.7242981966908347,gumbel_soft
81,0.7426438,test,0.7564195,0.7160772510659644,gumbel_soft
82,0.73887247,train,0.7522179,0.7072509811250234,gumbel_soft
82,0.73887247,val,0.7282406,0.7183491355270496,gumbel_soft
82,0.73887247,test,0.77022487,0.7030348633057437,gumbel_soft
83,0.7461597,train,0.7498029,0.7010112336219606,gumbel_soft
83,0.7461597,val,0.78596056,0.6871165644171779,gumbel_soft
83,0.7461597,test,0.7786622,0.6897416603962879,gumbel_soft
84,0.75710416,train,0.76433295,0.7015926410432111,gumbel_soft
84,0.75710416,val,0.776196,0.6988287785833798,gumbel_soft
84,0.75710416,test,0.80565566,0.6871499038541928,gumbel_soft
85,0.7773488,train,0.752071,0.6963184451504392,gumbel_soft
85,0.7773488,val,0.75643855,0.6982710540992749,gumbel_soft
85,0.7773488,test,0.77348644,0.6876515341526628,gumbel_soft
86,0.76641154,train,0.77571005,0.6942627546253037,gumbel_soft
86,0.76641154,val,0.7936728,0.6884179215467559,gumbel_soft
86,0.76641154,test,0.80795664,0.6875679291029179,gumbel_soft
87,0.76568216,train,0.74749154,0.703066924147096,gumbel_soft
87,0.76568216,val,0.7753901,0.6959472020821714,gumbel_soft
87,0.76568216,test,0.7373103,0.7105593177827941,gumbel_soft
88,0.7724079,train,0.75491214,0.6964326501796133,gumbel_soft
88,0.7724079,val,0.7728822,0.689161554192229,gumbel_soft
88,0.7724079,test,0.78120446,0.6862302483069977,gumbel_soft
89,0.76076436,train,0.7552398,0.7043750908449096,gumbel_soft
89,0.76076436,val,0.7899254,0.6908347276445436,gumbel_soft
